bom_no,item_code,item_name,custom_alias,qty,uom,scrap_pct,note
BOM-BTP-00001-001,NVL-00028,Cuộn màng PET in ống đồng mẫu 888 Phấn Thơm khổ 800mm,PET in 888 Phấn Thơm,1020.0,m,2.0,Màng PET in ống đồng từ NCC (1000m + 2% hao hụt canh máy)
BOM-BTP-00001-001,NVL-00004,Cuộn màng PE sữa khổ 750mm dày 190mic,PE sữa K750 190mic,144.2,Kg,2.0,Màng PE sữa hàn dán dày 190mic mua từ máy thổi (144.2 Kg)
BOM-BTP-00001-001,NVL-00009,Cuộn màng PA khổ 800mm dày 15mic,PA K800 15mic,14.1,Kg,2.0,Màng PA rào cản chống bục thủng 15mic (14.1 Kg)
BOM-BTP-00001-001,NVL-00025,Keo ghép màng Polyurethane D-9700,Keo D-9700,1.2,Kg,0.0,Keo polyurethane ghép màng khô (1.2 Kg)
BOM-BTP-00001-001,NVL-00026,Chất đóng rắn keo ghép CL-3192K,Chất Đóng Rắn CL-3192K,1.2,Kg,0.0,Chất đóng rắn Isocyanate (1.2 Kg)
BOM-BTP-00001-001,NVL-00027,Dung môi công nghiệp Ethyl Acetate (EA),Dung Môi EA,4.8,Kg,0.0,Dung môi pha keo bay hơi buồng sấy (4.8 Kg)
BOM-BTP-00002-001,NVL-00029,Cuộn màng PET in ống đồng mẫu 888 Huyền Bí Xanh khổ 800mm,PET in 888 Huyền Bí,1020.0,m,2.0,Màng PET in ống đồng từ NCC (1000m + 2% hao hụt canh máy)
BOM-BTP-00002-001,NVL-00004,Cuộn màng PE sữa khổ 750mm dày 190mic,PE sữa K750 190mic,144.2,Kg,2.0,Màng PE sữa hàn dán dày 190mic mua từ máy thổi (144.2 Kg)
BOM-BTP-00002-001,NVL-00009,Cuộn màng PA khổ 800mm dày 15mic,PA K800 15mic,14.1,Kg,2.0,Màng PA rào cản chống bục thủng 15mic (14.1 Kg)
BOM-BTP-00002-001,NVL-00025,Keo ghép màng Polyurethane D-9700,Keo D-9700,1.2,Kg,0.0,Keo polyurethane ghép màng khô (1.2 Kg)
BOM-BTP-00002-001,NVL-00026,Chất đóng rắn keo ghép CL-3192K,Chất Đóng Rắn CL-3192K,1.2,Kg,0.0,Chất đóng rắn Isocyanate (1.2 Kg)
BOM-BTP-00002-001,NVL-00027,Dung môi công nghiệp Ethyl Acetate (EA),Dung Môi EA,4.8,Kg,0.0,Dung môi pha keo bay hơi buồng sấy (4.8 Kg)
BOM-BTP-00003-001,NVL-00030,Cuộn màng PET in ống đồng mẫu 888 Đam Mê Đỏ khổ 800mm,PET in 888 Đam Mê,1020.0,m,2.0,Màng PET in ống đồng từ NCC (1000m + 2% hao hụt canh máy)
BOM-BTP-00003-001,NVL-00004,Cuộn màng PE sữa khổ 750mm dày 190mic,PE sữa K750 190mic,144.2,Kg,2.0,Màng PE sữa hàn dán dày 190mic mua từ máy thổi (144.2 Kg)
BOM-BTP-00003-001,NVL-00009,Cuộn màng PA khổ 800mm dày 15mic,PA K800 15mic,14.1,Kg,2.0,Màng PA rào cản chống bục thủng 15mic (14.1 Kg)
BOM-BTP-00003-001,NVL-00025,Keo ghép màng Polyurethane D-9700,Keo D-9700,1.2,Kg,0.0,Keo polyurethane ghép màng khô (1.2 Kg)
