bom_no,item,item_name,quantity,uom,is_active,is_default,process_loss_percentage,operations,description
BOM-BTP-00001-001,BTP-00001,Cuộn màng ghép PET/PA/PE 3 lớp 888 Phấn Thơm khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn 888 Phấn Thơm (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00002-001,BTP-00002,Cuộn màng ghép PET/PA/PE 3 lớp 888 Huyền Bí Xanh khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn 888 Huyền Bí (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00003-001,BTP-00003,Cuộn màng ghép PET/PA/PE 3 lớp 888 Đam Mê Đỏ khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn 888 Đam Mê (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00004-001,BTP-00004,Cuộn màng ghép PET/PA/PE 3 lớp NGCS Đỏ - Tím khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn NGCS Đỏ-Tím (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00005-001,BTP-00005,Cuộn màng ghép PET/PA/PE 3 lớp NGCS Hồng - Xanh khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn NGCS Hồng-Xanh (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00006-001,BTP-00006,Cuộn màng ghép PET/PA/PE 3 lớp Minh Râu Tím khổ 780mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn Minh Râu Tím (Khổ 780mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00007-001,BTP-00007,Cuộn màng ghép PET/PA/PE 3 lớp TopGia 2L khổ 750mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn TopGia 2L (Khổ 750mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00008-001,BTP-00008,Cuộn màng ghép PET/PA/PE 3 lớp Softy 3L khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn Softy 3L (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00009-001,BTP-00009,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Xanh mặt trước khổ 900mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn FUTA Xanh MT (Khổ 900mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00010-001,BTP-00010,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Xanh mặt sau khổ 900mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn FUTA Xanh MS (Khổ 900mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00011-001,BTP-00011,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Tím mặt trước khổ 900mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn FUTA Tím MT (Khổ 900mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00012-001,BTP-00012,Cuộn màng ghép PET/PA/PE 3 lớp FUTA Tím mặt sau khổ 900mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn FUTA Tím MS (Khổ 900mm, 3 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00013-001,BTP-00013,Cuộn màng ghép cắt đáy đứng túi 3.2Kg khổ 180mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn màng đáy 3.2Kg (Khổ 180mm, 2 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00014-001,BTP-00014,Cuộn màng ghép 4 lớp BABA 3.6Kg khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn BABA 3.6Kg (Khổ 800mm, 4 lớp, hao hụt ghép 2.0%)."
BOM-BTP-00015-001,BTP-00015,Cuộn màng ghép thực phẩm Năm Tàu khổ 800mm,1000.0,m,1,1,2.0,Ghép Màng Khô (WS-GHEP-01),"Định mức ghép 1.000m cuộn Cuộn Năm Tàu (Khổ 800mm, 3 lớp, hao hụt ghép 2.0%)."
