bom_no,item_code,item_name,qty,uom,scrap_pct,note
BOM-NGCS-00001-001,BTP-00004,Cuộn NGCS Đỏ - Tím,287.0,m,2.5,Bước cắt dao 280.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00001-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00001-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00002-001,BTP-00005,Cuộn NGCS Hồng - Xanh,287.0,m,2.5,Bước cắt dao 280.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00002-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00002-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00003-001,BTP-00004,Cuộn NGCS Đỏ - Tím,287.0,m,2.5,Bước cắt dao 280.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00003-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00003-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00004-001,BTP-00005,Cuộn NGCS Hồng - Xanh,287.0,m,2.5,Bước cắt dao 280.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00004-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00004-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00005-001,BTP-00004,Cuộn NGCS Đỏ - Tím,287.0,m,2.5,Bước cắt dao 280.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00005-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00005-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
BOM-NGCS-00006-001,BTP-00004,Cuộn NGCS Đỏ - Tím,348.5,m,2.5,Bước cắt dao 340.0mm x 1.000 túi + 2.5% hao hụt biên/mối nối
BOM-NGCS-00006-001,NVL-00040,Vòi 16mm,1010,Cái,1.0,1 vòi/túi + 1% hao hụt máy dán vòi
BOM-NGCS-00006-001,NVL-00044,Thùng carton đựng túi,2,Cái,0,Đóng gói tiêu chuẩn 500 túi/thùng
