bom_no,item,item_name,quantity,uom,is_active,is_default,process_loss_percentage,operations,description
BOM-NGCS-00001-001,NGCS-00001,NGCS Nhỏ Đỏ - Đam Mê,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Nhỏ Đỏ - Đam Mê (Hao hụt cắt dán 2.5%).
BOM-NGCS-00002-001,NGCS-00002,NGCS Nhỏ Xanh - Hoa Hồng,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Nhỏ Xanh - Hoa Hồng (Hao hụt cắt dán 2.5%).
BOM-NGCS-00003-001,NGCS-00003,NGCS Nhỏ Tím - Nước Hoa,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Nhỏ Tím - Nước Hoa (Hao hụt cắt dán 2.5%).
BOM-NGCS-00004-001,NGCS-00004,NGCS Nhỏ Hồng - Cá Tính,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Nhỏ Hồng - Cá Tính (Hao hụt cắt dán 2.5%).
BOM-NGCS-00005-001,NGCS-00005,NGCS Nhỏ Vàng - Ban Mai,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Nhỏ Vàng - Ban Mai (Hao hụt cắt dán 2.5%).
BOM-NGCS-00006-001,NGCS-00006,NGCS Trung Đỏ - Đam Mê,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Trung Đỏ - Đam Mê (Hao hụt cắt dán 2.5%).
BOM-NGCS-00007-001,NGCS-00007,NGCS Trung Xanh - Hoa Hồng,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Trung Xanh - Hoa Hồng (Hao hụt cắt dán 2.5%).
BOM-NGCS-00008-001,NGCS-00008,NGCS Trung Tím - Nước Hoa,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Trung Tím - Nước Hoa (Hao hụt cắt dán 2.5%).
BOM-NGCS-00009-001,NGCS-00009,NGCS Trung Hồng - Cá Tính,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Trung Hồng - Cá Tính (Hao hụt cắt dán 2.5%).
BOM-NGCS-00010-001,NGCS-00010,NGCS Trung Vàng - Ban Mai,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Trung Vàng - Ban Mai (Hao hụt cắt dán 2.5%).
BOM-NGCS-00011-001,NGCS-00011,NGCS Lớn Đỏ - Đam Mê,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Lớn Đỏ - Đam Mê (Hao hụt cắt dán 2.5%).
BOM-NGCS-00012-001,NGCS-00012,NGCS Lớn Xanh - Hoa Hồng,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Lớn Xanh - Hoa Hồng (Hao hụt cắt dán 2.5%).
BOM-NGCS-00013-001,NGCS-00013,NGCS Lớn Tím - Nước Hoa,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Lớn Tím - Nước Hoa (Hao hụt cắt dán 2.5%).
BOM-NGCS-00014-001,NGCS-00014,NGCS Lớn Hồng - Cá Tính,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Lớn Hồng - Cá Tính (Hao hụt cắt dán 2.5%).
BOM-NGCS-00015-001,NGCS-00015,NGCS Lớn Vàng - Ban Mai,1000,Túi,1,1,2.5,Cắt dán túi đáy đứng -> Đóng vòi -> Đóng thùng,Định mức sản xuất 1.000 túi NGCS Lớn Vàng - Ban Mai (Hao hụt cắt dán 2.5%).
