customer_name,brand_pattern,color_variant,applied_item_type,default_item_code,notes
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TỔNG HỢP THÁI DƯƠNG,KYROS,Xanh Dương / Đỏ,Túi NGCS Lớn (3.5L - 5L),NGCS-00012,In lụa 1-2 màu lên phôi NGCS Lớn
CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH NHẬT QUANG VINA,Vinplus,Hồng / Xanh Dương,Túi NGCS Lớn (3.5L - 5L),NGCS-00014,In lụa 1-2 màu lên phôi NGCS Lớn
CÔNG TY CP QUỐC TẾ VMT GROUP,NEMO,Tím / Vàng,Túi NGCS Lớn (3.5L - 5L),NGCS-00013,In lụa 1-2 màu lên phôi NGCS Lớn
CÔNG TY CP ĐT LIÊN DOANH SX HÓA MỸ PHẨM CAO CẤP VIỆT NHẬT,FUSIMI / FUSHIMI,Đỏ / Tím,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa 1-2 màu lên phôi NGCS Lớn
Công ty TNHH sản xuất và thương mại Anh Lâm,DEGO,Đỏ / Tím,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa 1-2 màu lên phôi NGCS Lớn
CÔNG TY TNHH TM-DV HÓA MỸ PHẨM LÂM GIA,SuperClean,Đỏ / Tím,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa 1-2 màu lên phôi NGCS Lớn
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI NHAN GIA PHÁT,CLEANS,Xanh Dương,Túi NGCS Lớn (3.5L - 5L),NGCS-00012,In lụa lên phôi NGCS Lớn
CÔNG TY CP PHÚC HƯNG PHÚC,M'LIFE,Đỏ,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH HÓA PHẨM NAM GIA PHÁT,KIREI,Đỏ,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH HÓA MỸ PHẨM VIO,VIO,Đỏ,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa lên phôi NGCS Lớn
CÔNG TY TNHHSẢNXUẤT VÀ THƯƠNGMẠITUẤN PHÁT,FIROLA,Đỏ,Túi NGCS Lớn (3.5L - 5L),NGCS-00011,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI CHÂU LONG,VN MARK,Vàng,Túi NGCS Lớn (3.5L - 5L),NGCS-00015,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH SX& ĐẦU TƯ PHÚ THÀNH,RICH CITY,Vàng / Hồng,Túi NGCS Lớn (3.5L - 5L),NGCS-00015,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI RIOS VIỆT NAM,RISO,Tím,Túi NGCS Lớn (3.5L - 5L),NGCS-00013,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH TM-DV THANH TẠO PHÁT,MYO,Tím,Túi NGCS Lớn (3.5L - 5L),NGCS-00013,In lụa lên phôi NGCS Lớn
CÔNG TY TNHH THƯƠNG MẠI -XNK T&Đ VIỆT NAM,CHOOSE ME,Xanh Dương / Hồng,Túi NGCS Lớn (3.5L - 5L),NGCS-00012,In lụa lên phôi NGCS Lớn
DOANH NGHIỆP THẾ KỶ VÀNG,OKAY,Hồng Mới / Tím Mới,Túi NGCS Trung (3 - 3.6Kg),NGCS-00009,In lụa 1 màu lên phôi NGCS Trung
CÔNG TY TNHH HÓA MỸ PHẨM LINH PHƯƠNG,LINH PHƯƠNG,Tím Mới,Túi NGCS Trung (3 - 3.6Kg),NGCS-00008,In lụa 1 màu lên phôi NGCS Trung
Công ty TNHH chăm sóc sức khỏe Huy Hoàng,Huy Hoàng,Hồng Mới,Túi NGCS Trung (3 - 3.6Kg),NGCS-00009,In lụa 1 màu lên phôi NGCS Trung
CÔNG TY TNHH SẢN XUẤT MỸ PHẨM AN NHIÊN,AN PERFUN,Vàng 2 Lít,Túi NGCS Nhỏ (1.8L - 2.4L),NGCS-00005,In lụa 1 màu lên phôi NGCS Nhỏ
CÔNG TY TNHH kinh doanh đầu tư và dịch vụ phan gia bích,MIGHTY,Vàng 2 Lít,Túi NGCS Nhỏ (1.8L - 2.4L),NGCS-00005,In lụa 1 màu lên phôi NGCS Nhỏ
Khách hàng Anh Khoa,MTBC An Hữu,Đỏ (1 màu 1 mặt),Túi PE hột xoài 20x30,TMD-00007,In lụa PK Nhi Đồng Sài Gòn MTBC An Hữu
Khách hàng Anh Khoa,MTBC Bình Phước,Đỏ (1 màu 1 mặt),Túi PE hột xoài 20x30,TMD-00007,In lụa PK Nhi Đồng Sài Gòn MTBC Bình Phước
Khách hàng Anh Khoa,MTBC Vĩnh Long,Đỏ (1 màu 1 mặt),Túi PE hột xoài 20x30,TMD-00007,In lụa PK Nhi Đồng Sài Gòn Vĩnh Long
Khách hàng Anh Khoa,MTBC Củ Chi,Đỏ (1 màu 1 mặt),Túi PE hột xoài 20x30,TMD-00007,In lụa PK Nhi Đồng Sài Gòn Củ Chi
Khách hàng Anh Khoa,MTBC Thủ Đức,Đỏ (1 màu 1 mặt),Túi PE hột xoài 20x30,TMD-00007,In lụa PK Nhi Đồng Sài Gòn Thủ Đức
Phòng khám chuyên khoa Nhi Huỳnh Minh Thư,Huỳnh Minh Thư,Đỏ (1 màu 1 mặt),Túi PE hột xoài 17x22,TMD-00008,In lụa PK Nhi Huỳnh Minh Thư
CÔNG TY CỔ PHẦN BỆNH VIỆN VẠN AN,Bệnh viện Vạn An,Xanh / Tím (1 màu 1 mặt),Túi HD quai thỏ 17x25,TMD-00001,In lụa BV Vạn An
CÔNG TY CỔ PHẦN BỆNH VIỆN VẠN AN,Bệnh viện Vạn An,Xanh / Tím (1 màu 1 mặt),Túi HD quai thỏ 26x40,TMD-00002,In lụa BV Vạn An
CÔNG TY CỔ PHẦN BỆNH VIỆN VẠN AN,Bệnh viện Vạn An Mẫu Mới,Xanh / Tím,Túi HD quai thỏ 30x20x30,TMD-00006,In lụa BV Vạn An đáy vuông
Hải sản tươi sống Ốc Kiều,Ốc Kiều,1 màu 1 mặt,Túi HD quai thỏ 30x50,TMD-00003,In lụa Hải sản Ốc Kiều
