item_code,customer,customer_name,ref_code
TP-00001,KH-00226,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA-1L
TP-00002,KH-00226,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA-1L
TP-00003,KH-00226,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA-2L
TP-00004,KH-00271,CÔNG TY TRÁCH NHIỆM HỮU HẠN SAM RAN,SAMRAN-INS
TP-00005,KH-00271,CÔNG TY TRÁCH NHIỆM HỮU HẠN SAM RAN,SAMRAN-I4S
TP-00011,KH-00326,CÔNG TY TNHH MTV SX TM XNK ANH PHÁT,BABA-3.6KG
TP-00012,KH-00327,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU TIÊN PHONG VIETCOAT,SUPERGEO-5L
TP-00013,KH-00328,CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,LAMY-VANG-2KG
TP-00014,KH-00328,CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,LAMY-XANH-2KG
TP-00015,KH-00127,CTY TNHH SX - XNK AMYCO,CHLOELY-2L
TP-00017,KH-00107,CÔNG TY CỔ PHẦN EZ COSMETIC VIỆT NAM - CHI NHÁNH LONG AN,SOFIA-2L
TP-00018,KH-00274,CÔNG TY CỔ PHẦN DINH DƯỠNG SKX,SKX-DD
TP-00019,KH-00109,CÔNG TY TNHH DỊCH VỤ TỔNG HỢP QUANG ĐẠI PHÁT,HOTIEU-NQT-500G
TP-00020,KH-00184,CÔNG TY CỔ PHẦN DS COSMETIC,888-3.2KG-HONG
TP-00021,KH-00226,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,TANZY-XOTPM
TP-00022,KH-00184,CÔNG TY CỔ PHẦN DS COSMETIC,MINHRAU-TIM-3.2KG
TP-00023,KH-00184,CÔNG TY CỔ PHẦN DS COSMETIC,MINHRAU-HONG-3.2KG
TP-00024,KH-00300,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONGAN-20X30
TP-00025,KH-00300,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONGAN-22X32
TP-00026,KH-00300,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONGAN-25X35
TP-00027,KH-00094,CÔNG TY TNHH ENZY FOOD,ENZY-220G
TP-00028,KH-00094,CÔNG TY TNHH ENZY FOOD,ENZY-450G
TP-00029,KH-00094,CÔNG TY TNHH ENZY FOOD,ENZY-900G
TP-00030,KH-00094,CÔNG TY TNHH ENZY FOOD,ENZY-RACCOM
TP-00031,KH-00097,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,TMGROW-KB-4KG
TP-00032,KH-00097,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,TMGROW-MH-4KG
TP-00033,KH-00097,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,TMGROW-KS-4KG
TP-00034,KH-00184,CÔNG TY CỔ PHẦN DS COSMETIC,METHICH-888
TP-00035,KH-00298,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI TRANG UYÊN,TRANGUYEN-FUTA-TRUE
