name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,credit_limit,tax_id,primary_address,customer_primary_contact,disabled
KH-00001,CÔNG TY CỔ PHẦN DS COSMETIC,DS COSMETIC,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Công nợ gối đầu 30 ngày,VND,200000000.0,,,Huy,0
KH-00002,CÔNG TY CỔ PHẦN BỆNH VIỆN VẠN AN,VẠN AN,Company,Khách Hàng Túi Màng Đơn,Tây Ninh,Công nợ gối đầu 30 ngày,VND,50000000.0,,"Số 352 Tuyến Tránh Quốc Lộ 1, Ấp 4, Phường Long An, Tỉnh Tây Ninh",Huy,0
KH-00003,CÔNG TY TNHH SX THƯƠNG MẠI BAO BÌ KOVAA,KOVAA,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Số 79/16, Đường TL08, Khu Phố 3A, Phường An Phú",Huy,0
KH-00004,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU TIÊN PHONG VIETCOAT,VIETCOAT,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Giang,0
KH-00005,CÔNG TY TNHH MTV TM TRANG UYÊN,TRANG UYÊN,Company,Khách Hàng Bao Bì Màng Ghép,TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"118/59 Phan Huy ích, Phường Tân Sơn, Quận Tân Bình, TP Hồ Chí Minh",Huy,0
KH-00006,CÔNG TY TNHH MTV SX TM XNK ANH PHÁT,ANH PHÁT,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Huy,0
KH-00007,CÔNG TY TNHH SẢN XUẤT - XUẤT NHẬP KHẨU AMYCO,AMYCO,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Huy,0
KH-00008,CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,ECO WIPES,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lam,0
KH-00009,CÔNG TY TNHH TM-DV HÓA MỸ PHẨM LÂM GIA,LÂM GIA,Company,Khách Hàng Bao Bì In Sẵn (NGCS),TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"245/129 Lãnh Binh Thăng, P12, Quận 11, Thành phố Hồ Chí Minh",Lài,0
KH-00010,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,JNS VIỆT NAM,Company,Khách Hàng Túi Màng Đơn,Long An,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"2B, Đường Tỉnh 835, Ấp 3B, Xã Phước Lợi, Huyện Bến Lức, Tỉnh Long An",Lam,0
KH-00011,CÔNG TY TNHH SẢN XUẤT NỆM PHONG NGUYÊN,PHONG NGUYÊN,Company,Khách Hàng Túi Màng Đơn,TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"79H Đỗ Ngọc Thạnh, Phường 15, Quận 5, TP. Hồ Chí Minh",Lam,0
KH-00012,CÔNG TY CỔ PHẦN DINH DƯỠNG SKX,DINH DƯỠNG SKX,Company,Khách Hàng Túi Màng Đơn,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lam,0
KH-00013,CÔNG TY CP ĐẦU TƯ LIÊN DOANH SẢN XUẤT HOÁ MỸ PHẨM VIỆT NHẬT,VIỆT NHẬT,Company,Khách Hàng Bao Bì In Sẵn (NGCS),TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Số 2 ngõ 250/8 phố Tân Mai, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội.",Nhàn,0
KH-00014,CÔNG TY CỔ PHẦN EZ COSMETIC VIỆT NAM – CHI NHÁNH LONG AN,EZ COSMETIC,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Huy,0
KH-00015,HỘ KINH DOANH ĐẶNG DIỀU TÂM,ĐẶNG DIỀU TÂM,Individual,Khách Hàng Thương Mại & Phân Phối,TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"50/77 Nguyễn Quý Yêm, Phường An Lạc, Quận Bình Tân, TP Hồ Chí Minh",Lam,0
KH-00016,CÔNG TY TNHH ENZY FOOD,ENZY FOOD,Company,Khách Hàng Bao Bì Màng Ghép,Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lam,0
KH-00017,Công ty TNHH sản xuất và thương mại Anh Lâm,ANH LÂM,Company,Khách Hàng Thương Mại & Phân Phối,Hà Tĩnh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,Minh tiến kỳ tiến kỳ anh hà tĩnh,Lài,0
KH-00018,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TỔNG HỢP THÁI DƯƠNG,THÁI DƯƠNG,Company,Khách Hàng Bao Bì In Sẵn (NGCS),TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"283/14 Dương Đình Hội, Phường Tăng Nhơn Phú , Thành phố Hồ Chí Minh, Việt Nam",Lài,0
KH-00019,PHÒNG KHÁM CHUYÊN KHOA NHI – MẶT TRỜI BÉ CON,MTBC,Individual,Khách Hàng Thương Mại & Phân Phối,TP. Hồ Chí Minh,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"31 Hữu Nghị, Phường Bình Thọ, Thủ Đức, TPHCM",Lam,0
KH-00020,CÔNG TY TNHH TM-DV THANH TẠO PHÁT,THANH TẠO PHÁT,Company,Khách Hàng Bao Bì In Sẵn (NGCS),Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Nhàn,0
KH-00021,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI AN SINH LỘC,AN SINH LỘC,Company,Khách Hàng Bao Bì In Sẵn (NGCS),Hải Phòng,Cọc trước 50% - Giao hàng 50%,VND,0.0,,"Thôn Đôn Thư, Xã Trường Tân, TP Hải Phòng.",Nhàn,0
KH-00022,CÔNG TY TNHH HÓA PHẨM NAM GIA PHÁT,NAM GIA PHÁT,Company,Khách Hàng Bao Bì In Sẵn (NGCS),Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Cty,0
KH-00023,CÔNG TY TNHH SX& ĐẦU TƯ PHÚ THÀNH,PHÚ THÀNH,Company,Khách Hàng Bao Bì In Sẵn (NGCS),Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lài,0
KH-00024,HỘ KINH DOANH HÀO GIA,HÀO GIA,Individual,Khách Hàng Bao Bì In Sẵn (NGCS),Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Lài,0
KH-00025,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI NHAN GIA PHÁT,NHAN GIA PHÁT,Company,Khách Hàng Bao Bì In Sẵn (NGCS),Việt Nam,Cọc trước 50% - Giao hàng 50%,VND,0.0,,,Giang,0
