customer_name,alias,payment_type,credit_limit,primary_brand,notes
CÔNG TY CỔ PHẦN DS COSMETIC,DS COSMETIC,Trả sau,500000000,"888, Minh Râu",Khách lớn túi màng ghép độc quyền 888 & Minh Râu
CÔNG TY CỔ PHẦN BỆNH VIỆN VẠN AN,VẠN AN,Trả sau,200000000,BV Vạn An,Khách túi màng đơn HD quai thỏ y tế
CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU TIÊN PHONG VIETCOAT,VIETCOAT,Trả sau,500000000,Vietcoat 5L,Khách túi 8 cạnh màng ghép keo dán gạch
CÔNG TY TNHH MTV SX TM XNK ANH PHÁT,ANH PHÁT,Trả trước,0,BABA,Túi nước giặt BABA 3.6Kg có vòi
CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,JNS VIỆT NAM,Trả trước,0,Cây Đàn,Cuộn màng ghép & túi Cây Đàn
CÔNG TY TNHH SX THƯƠNG MẠI BAO BÌ KOVAA,KOVAA,Trả trước,0,Pho Mai KOVAA,Túi 3 biên xốt pho mai
CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,ECO WIPES,Trả trước,0,Lamy,Túi Lamy 2Kg có vòi
CÔNG TY TNHH PHONG TÍN,PHONG TÍN,Trả trước,0,TopGia,Túi màng bọc thực phẩm & túi nước giặt
CTY TNHH SX - XNK AMYCO,AMYCO,Trả trước,0,Softy,Túi Softy 3L nền tím
CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH NHẬT QUANG VINA,NHẬT QUANG VINA,Trả trước,0,Vinplus,In lụa phôi NGCS Lớn
CÔNG TY CP QUỐC TẾ VMT GROUP,VMT GROUP,Trả trước,0,NEMO,In lụa phôi NGCS Lớn
CÔNG TY CP ĐT LIÊN DOANH SX HÓA MỸ PHẨM CAO CẤP VIỆT NHẬT,VIỆT NHẬT,Trả trước,0,FUSIMI,In lụa phôi NGCS Lớn
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ TỔNG HỢP THÁI DƯƠNG,THÁI DƯƠNG,Trả trước,0,KYROS,In lụa phôi NGCS Lớn
CÔNG TY TNHH HÓA MỸ PHẨM LINH PHƯƠNG,LINH PHƯƠNG,Trả trước,0,LINH PHƯƠNG,In lụa phôi NGCS Trung
DOANH NGHIỆP THẾ KỶ VÀNG,THẾ KỶ VÀNG,Trả trước,0,OKAY,In lụa phôi NGCS Trung
CÔNG TY TNHH SẢN XUẤT MỸ PHẨM AN NHIÊN,AN NHIÊN,Trả trước,0,AN PERFUN,In lụa phôi NGCS Nhỏ 2L
CÔNG TY CP PHÚC HƯNG PHÚC,PHÚC HƯNG PHÚC,Trả trước,0,M'LIFE,In lụa phôi NGCS Lớn
CÔNG TY TNHH HÓA PHẨM NAM GIA PHÁT,NAM GIA PHÁT,Trả trước,0,KIREI,In lụa phôi NGCS Lớn
CÔNG TY TNHH HÓA MỸ PHẨM VIO,VIO,Trả trước,0,VIO,Túi PE màng đơn
CÔNG TY TNHH SẢN XUẤT NỆM PHONG NGUYÊN,PHONG NGUYÊN,Trả trước,0,Phong Nguyên,Túi PE trơn khổ lớn bọc nệm
CÔNG TY TNHH NHỰA HÀ LINH,HÀ LINH,Trả trước,0,Nhựa Hà Linh,Túi PE hột xoài 30x42
Khách hàng Ms. Barun,BARUN,Trả trước,0,Ms. Barun,Túi HD quai thỏ đựng 3kg/5kg
Hải sản tươi sống Ốc Kiều,ỐC KIỀU,Trả trước,0,Ốc Kiều,Túi HD quai thỏ xếp hông
HỘ KINH DOANH ĐẶNG DIỀU TÂM,ĐẶNG DIỀU TÂM,Trả trước,0,LOTUS,Túi PP trong 32x45
