item_code,item_name,custom_alias,item_group,stock_uom,brand,default_material_request_type,standard_rate,min_order_qty,safety_stock,disabled,is_stock_item,is_sales_item,is_purchase_item,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location,description
NVL-00001,Màng AL K560 6mic,AL K560 6mic,Màng Thô NVL,Kg,,Purchase,160000,0,0,0,1,0,1,AL,6,560,0,0,0,0,Không in,,,,,0,0,,
NVL-00002,Màng MPET K800 12mic,MPET K800 12mic,Màng Thô NVL,Kg,,Purchase,57000,0,0,0,1,0,1,MPET,12,800,0,0,0,0,Không in,,,,,0,0,,
NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,Màng Thô NVL,Kg,,Purchase,80000,0,0,0,1,0,1,PA,15,800,0,0,0,0,Không in,,,,,0,0,,
NVL-00004,Màng PE TRONG K660 75mic,PE Trong K660 75mic,Màng Thô NVL,Kg,,Purchase,49000,0,0,0,1,0,1,PE,75,660,0,0,0,0,Không in,,,,,0,0,,
NVL-00005,Màng PE TRONG K700 150mic,PE Trong K700 150mic,Màng Thô NVL,Kg,,Purchase,49000,0,0,0,1,0,1,PE,150,700,0,0,0,0,Không in,,,,,0,0,,
NVL-00006,Màng PES K700 190mic,PE Sữa K700 190mic,Màng Thô NVL,Kg,,Purchase,52000,0,0,0,1,0,1,PES,190,700,0,0,0,0,Không in,,,,,0,0,,
NVL-00007,Màng PET K700 12mic,PET K700 12mic,Màng Thô NVL,Kg,,Purchase,47000,0,0,0,1,0,1,PET,12,700,0,0,0,0,Không in,,,,,0,0,,
NVL-00008,Màng PET K800 12mic,PET K800 12mic,Màng Thô NVL,Kg,,Purchase,48000,0,0,0,1,0,1,PET,12,800,0,0,0,0,Không in,,,,,0,0,,
TRUC-G4010806,TÚI NƯỚC GIẶT SACHPOONG 3.2KG,Trục NƯỚC GIẶT SACHPOONG 3.2KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010806,800,564,5,VẠN PHÁT,
TRUC-G4010805,TÚI NƯỚC GIẶT SACHPOONG 0.6KG,Trục NƯỚC GIẶT SACHPOONG 0.6KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010805,750,456,5,VẠN PHÁT,
TRUC-G4010947,TÚI NƯỚC GIẶT RAPTOR CLEAN 0.6KG,Trục NƯỚC GIẶT RAPTOR CLEAN 0.6KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4010947,750,456,7,VẠN PHÁT,
TRUC-G4011425,TÚI NƯỚC GIẶT TOPGIA HOA NẮNG 1L,Trục NƯỚC GIẶT TOPGIA HOA NẮNG 1L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4011425,750,404,6,KIẾN TÂM,
TRUC-G4011427,TÚI NƯỚC GIẶT TOPGIA ĐẮM SAY 1L,Trục NƯỚC GIẶT TOPGIA ĐẮM SAY 1L,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4011427,750,404,6,KIẾN TÂM,
TRUC-G4011409,TÚI NƯỚC GIẶT TRẦN QUÂN 2KG,Trục NƯỚC GIẶT TRẦN QUÂN 2KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4011409,750,484,4,VẠN PHÁT,
TRUC-G4011542,TÚI NƯỚC GIẶT DPCLEAN 0.6KG,Trục NƯỚC GIẶT DPCLEAN 0.6KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4011542,750,456,5,VẠN PHÁT,
TRUC-G4006940,TÚI NƯỚC GIẶT 888 3.2KG HƯƠNG PHẤN THƠM - HỒNG,Trục NƯỚC GIẶT 888 3.2KG HƯƠNG PHẤN THƠM HỒNG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G4006940,800,564,5,KIẾN TÂM,
