item_code,item_name,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location
NGCS-00001,Túi phôi nước giặt in sẵn nhỏ 2L có vòi (Đỏ),PET/MPET/PA/PE sữa,220,600,220,280,40,280,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00002,Túi phôi nước giặt in sẵn nhỏ 2L có vòi (Xanh),PET/MPET/PA/PE sữa,220,600,220,280,40,280,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00003,Túi phôi nước giặt in sẵn nhỏ 2L có vòi (Tím),PET/MPET/PA/PE sữa,220,600,220,280,40,280,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00004,Túi phôi nước giặt in sẵn nhỏ 2L có vòi (Hồng),PET/MPET/PA/PE sữa,220,600,220,280,40,280,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00005,Túi phôi nước giặt in sẵn nhỏ 2L có vòi (Vàng),PET/MPET/PA/PE sữa,220,600,220,280,40,280,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00006,Túi phôi nước giặt in sẵn trung 3.2Kg có vòi (Đỏ),PET//PA/PE sữa,230,700,280,340,45,340,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00007,Túi phôi nước giặt in sẵn trung 3.2Kg có vòi (Xanh),PET//PA/PE sữa,230,700,280,340,45,340,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00008,Túi phôi nước giặt in sẵn trung 3.2Kg có vòi (Tím),PET//PA/PE sữa,230,700,280,340,45,340,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00009,Túi phôi nước giặt in sẵn trung 3.2Kg có vòi (Hồng),PET//PA/PE sữa,230,700,280,340,45,340,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00010,Túi phôi nước giặt in sẵn trung 3.2Kg có vòi (Vàng),PET//PA/PE sữa,230,700,280,340,45,340,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00011,Túi phôi nước giặt in sẵn lớn 3.8Kg có vòi (Đỏ),PET/MPET/PA/PE sữa,250,800,300,380,50,380,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00012,Túi phôi nước giặt in sẵn lớn 3.8Kg có vòi (Xanh),PET/MPET/PA/PE sữa,250,800,300,380,50,380,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00013,Túi phôi nước giặt in sẵn lớn 3.8Kg có vòi (Tím),PET/MPET/PA/PE sữa,250,800,300,380,50,380,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00014,Túi phôi nước giặt in sẵn lớn 3.8Kg có vòi (Hồng),PET/MPET/PA/PE sữa,250,800,300,380,50,380,In trục ống đồng,Vòi 16mm,,,0,0,0,
NGCS-00015,Túi phôi nước giặt in sẵn lớn 3.8Kg có vòi (Vàng),PET/MPET/PA/PE sữa,250,800,300,380,50,380,In trục ống đồng,Vòi 16mm,,,0,0,0,
TMD-00001,Túi nilon HD quai thỏ 17x25cm,HDPE,45,340,170,250,0,250,In lụa,,,,0,0,0,
TMD-00002,Túi nilon HD quai thỏ 26x40cm,HDPE,45,520,260,400,0,400,In lụa,,,,0,0,0,
TMD-00003,Túi nilon HD quai thỏ 30x50cm,HDPE,50,600,300,500,0,500,In lụa,,,,0,0,0,
TMD-00004,Túi nilon HD quai thỏ 26x43cm,HDPE,50,520,260,430,0,430,In lụa,,,,0,0,0,
TMD-00005,Túi nilon HD quai thỏ 30x60cm,HDPE,55,600,300,600,0,600,In lụa,,,,0,0,0,
TMD-00006,Túi nilon HD quai thỏ đáy vuông 30x20x30cm,HDPE,50,600,300,300,100,300,In lụa,,,,0,0,0,
TMD-00007,Túi nilon PE hột xoài trắng sữa 20x30cm,LDPE,60,400,200,300,0,300,In lụa,,,,0,0,0,
TMD-00008,Túi nilon PE hột xoài trắng sữa 17x22cm,LDPE,60,340,170,220,0,220,In lụa,,,,0,0,0,
TMD-00009,Túi nilon PE hột xoài trắng sữa 30x42cm,LDPE,70,600,300,420,0,420,In lụa,,,,0,0,0,
TMD-00010,Túi nilon PP trong suốt 32x45cm,PP,70,640,320,450,0,450,In lụa,,,,0,0,0,
TMD-00011,Túi nilon PE trơn bọc nệm 50x100cm,LDPE,70,1000,500,1000,0,1000,In lụa,,,,0,0,0,
TMD-00012,Túi nilon PE phôi cây đàn 30x48.5cm,LDPE,60,600,300,485,0,485,In lụa,,,,0,0,0,
TP-00001,Túi đựng nước giặt 888 3.2Kg có vòi (Màu Hồng),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4006940,,0,0,0,
TP-00002,Túi đựng nước giặt 888 3.2Kg có vòi (Màu Tím),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4006961,,0,0,0,
TP-00003,Túi đựng nước giặt 888 3.2Kg có vòi (Màu Đỏ),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4006960,,0,0,0,
TP-00004,Túi đựng nước giặt 888 2Kg có vòi (Màu Hồng),PET//PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,TRUC-G4006677,,0,0,0,
TP-00005,Túi đựng nước giặt 888 2Kg có vòi (Màu Tím),PET//PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,TRUC-G4005893,,0,0,0,
TP-00006,Túi đựng nước giặt 888 2Kg có vòi (Màu Đỏ),PET//PA/PE sữa,210,580,240,300,45,300,In trục ống đồng,Vòi 16mm,TRUC-G4005897,,0,0,0,
TP-00007,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Hồng),PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4006660,,0,0,0,
TP-00008,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Tím),PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4006655,,0,0,0,
TP-00009,Túi đựng nước giặt 888 0.6Kg có vòi (Màu Đỏ),PET//PA/PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4005877,,0,0,0,
TP-00010,Túi đựng nước lau sàn 888 0.6Kg có vòi,PET//PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4012417,,0,0,0,
TP-00011,Túi đựng nước rửa chén 888 0.6Kg có vòi,PET//PE,180,460,180,240,45,240,In trục ống đồng,Vòi 16mm,TRUC-G4012418,,0,0,0,
TP-00012,Túi đựng nước giặt Minh Râu 3.2Kg có vòi (Màu Tím),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4005887,,0,0,0,
TP-00013,Túi đựng nước giặt Minh Râu 3.2Kg có vòi (Màu Hồng),PET//PA/PE sữa,230,660,280,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-G4005883,,0,0,0,
TP-00014,Túi đựng nước giặt xả Lamy 2Kg có vòi (Màu Vàng),PET/MPET/PA/LLDPE,200,580,240,320,45,320,In trục ống đồng,Vòi 16mm,,,0,0,0,
TP-00015,Túi đựng nước giặt xả Lamy 2Kg có vòi (Màu Xanh),PET/MPET/PA/LLDPE,200,580,240,320,45,320,In trục ống đồng,Vòi 16mm,,,0,0,0,
TP-00016,Túi đựng nước giặt BABA 3.6Kg có vòi,PET/MPET/PA/PE sữa,230,660,280,380,45,380,In trục ống đồng,Vòi 16mm,TRUC-BABA,,0,0,0,
TP-00017,Túi đựng keo dán gạch SUPERGEO 5L có vòi,PET/PA/PA/PE sữa,240,740,320,340,45,340,In trục ống đồng,Vòi 16mm,TRUC-SUPERGEO,,0,0,0,
TP-00018,Túi đựng xốt phô mai KOVAA 200g có vòi,PET/PA/PES,150,400,150,220,45,220,In trục ống đồng,Vòi 10mm,,,0,0,0,
TP-00019,Túi màng bọc thực phẩm TopGia,PET/PE,80,500,200,300,45,300,In trục ống đồng,,,,0,0,0,
TP-00020,Túi đựng nước giặt TopGia 1L có vòi (Hoa Nắng),PET/PA/PE,190,460,180,250,45,250,In trục ống đồng,Vòi 16mm,TRUC-G4011425,,0,0,0,
