name,supplier_name,alias,supplier_group,supplier_type,country,payment_terms,default_currency,tax_id,primary_address,supplier_primary_contact,mobile_no,disabled
NCC-00001,CÔNG TY CỔ PHẦN Á ĐÔNG ADG,ADONG,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0308113486,"178/4L Phan Đăng Lưu, Phường Đức Nhuận, TP Hồ Chí Minh",,,0
NCC-00002,CÔNG TY TNHH BAO BÌ NHỰA AMOY,AMOY,Màng Thô NVL,Company,Việt Nam,,VND,1101952381,"1599 Ấp Nhơn Hoà 1, Xã Mỹ Hạnh, Tây Ninh",,,0
NCC-00003,CÔNG TY TNHH THƯƠNG MẠI GIẢI PHÁP TƯ VẤN THIẾT KẾ AN PHÁT HƯNG,ANPHATHUNG,Phụ Kiện Bao Bì,Company,Việt Nam,,VND,0317808928,"74/3L Đường 36, Phường Thủ Đức, TP Hồ Chí Minh",,,0
NCC-00004,CÔNG TY TNHH KỸ THUẬT DUTEC VIỆT,ANPHATHUNG1,Phụ Kiện Bao Bì,Company,Việt Nam,,VND,0318654967,"557/57/14 Hương Lộ 3, Phường Bình Hưng Hòa, TP Hồ Chí Minh",,,0
NCC-00005,CÔNG TY TNHH APIS TECH,APIS TECH,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0317464240,"60/9A Đường số 2, Phường Hiệp Bình, TP Hồ Chí Minh",,,0
NCC-00006,CÔNG TY TNHH BIDICA,BIDICA,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0316133239,"8 Song Hành, Phường Trung Mỹ Tây, TP Hồ Chí Minh",,,0
NCC-00007,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐIỆN MÁY XANH,DIENMAYXANH,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0303217354,"128 Trần Quang Khải, Phường Tân Định, TP Hồ Chí Minh",,,0
NCC-00009,CÔNG TY TNHH THIẾT BỊ ĐIỆN DLC,DLC,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0317476126,"T1-A03a.18, Tầng 3A, Tháp T1-A, Chung cư M-One, Số 35/12 Bế Văn Cấm, Phường Tân Hưng, TP Hồ Chí Minh",,,0
NCC-00010,CÔNG TY TNHH MÃ VẠCH ĐỒNG NAI,DONGNAI,Vật Tư Đóng Gói,Company,Việt Nam,,VND,3603409983,"Số 54D, tổ 13C, KP 3, Phường Trấn Biên, Đồng Nai",,,0
NCC-00011,CÔNG TY TNHH VIỆT NAM DONGYUN PLATE MAKING,DONGY,Gia Công Trục In,Company,Việt Nam,,VND,3700349426,"Số 19, Đại Lộ Tự Do, khu công nghiệp Việt Nam- Singapore, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,,0
NCC-00012,CÔNG TY CỔ PHẦN NAM DƯƠNG THỊNH,DUONGTHINH,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0314895009,"Số 98/66 Phan Huy Ích, Phường Tân Sơn, TP Hồ Chí Minh",,,0
NCC-00015,CÔNG TY TNHH THƯƠNG MẠI CÔNG NGHỆ FUDA,FUDA,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0315633366,"108 An Nhơn, Phường Gò Vấp, TP Hồ Chí Minh",,,0
NCC-00016,CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT TÂN HÙNG CƠ,HUNGCO,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0301871794,"7-9-11-13 Đường 53A, Phường Tân Tạo, TP Hồ Chí Minh",,,0
NCC-00017,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI HÙNG DŨNG,HUNGDUNG,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0319002587,"D6/52 Trịnh Như Khuê Ấp 4, Xã Bình Chánh, TP Hồ Chí Minh",,,0
NCC-00018,CÔNG TY TNHH KỸ THUẬT QUỐC TẾ HƯNG THỊNH,HUNGTHINH,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0313478637,"77/10 Đường Võ Thị Thừa, Phường An Phú Đông, TP Hồ Chí Minh",,,0
NCC-00019,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI THỰC PHẨM HỮU CHIẾN,HUUCHIEN,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0319052242,"160/37 Đường số 11, khu phố 26, Phường Bình Hưng Hòa, TP Hồ Chí Minh",,,0
NCC-00021,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI IN ẤN BAO BÌ HẢI ÂU,Hai Au,Màng Thô NVL,Company,Việt Nam,,VND,0313245914,"ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Long An",,,0
NCC-00022,CÔNG TY TNHH XUẤT NHẬP KHẨU KẾT NÔNG,Ket Nong,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0315006943,"119/83 Nguyễn Thị Tần, Phường 2, Quận 8, TP Hồ Chí Minh",,,0
NCC-00023,CÔNG TY CỔ PHẦN EZ COSMETIC VIỆT NAM - CHI NHÁNH LONG AN,EZ Long An,Vật Tư Đóng Gói,Company,Việt Nam,,VND,0312378238-004,"Nhà xưởng K2-3, KCN Tân Kim Mở Rộng, Thị trấn Cần Giuộc, Huyện Cần Giuộc, Long An",,,0
NCC-00024,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI LINH ĐẠI THÀNH,Linh Dai Thanh,Vật Tư Đóng Gói,Company,Việt Nam,,VND,1102017043,"Số 93, ấp 3A, đường 10A, Xã Hựu Thạnh, Huyện Đức Hoà, Long An",,,0
NCC-00025,CTY TNHH TM DV SẢN XUẤT CƠ KHÍ CƠ ĐIỆN DTH,Co Khi Dien DTH,Vật Tư Đóng Gói,Company,Việt Nam,,VND,,"CHI NHÁNH 2 PHÚ SƠN ĐƯỜNG 06, TỔ 7, ẤP PHÚ SƠN, XÃ BẮC SƠN, TRẢNG BOM, ĐỒNG NAI",,,0
NCC-00026,Công ty TNHH Tâm Tín Thịnh,Tam Tin Thinh,Vật Tư Đóng Gói,Company,Việt Nam,,VND,,"384/8B Nam Kỳ Khởi Nghĩa, P. Võ Thị sáu, Quận 3, TP.HCM",,,0
NCC-00027,TUỆ NHI,Tue Nhi,Vật Tư Đóng Gói,Company,Việt Nam,,VND,,"346/7/6 Mã Lò, P. Bình Trị Đông A, Bình Tân, TP. HCM",,,0
NCC-00028,Cty TNHH SX TM Bao Bì Nhựa Tuệ Nhi,Bao Bi Nhua Tue Nhi,Màng Thô NVL,Company,Việt Nam,,VND,,Tân Bình,,,0
