supplier_name,supplier_group,supplier_type,country,products
CÔNG TY CỔ PHẦN QUỐC TẾ UNLIMITED ACCESS VIỆT NAM,Phụ Kiện & Vòi,Company,Vietnam,"Vòi 16mm, Vòi 10mm, Vòi 22mm, Nắp niêm phong"
CÔNG TY TNHH BAO BÌ GIẤY TIỀN PHÁT,Bao Bì Đóng Gói,Company,Vietnam,"Thùng carton 60x40x40, thùng đóng gói túi"
công ty tnhh sản xuất bao bì nhựa tuệ nhi,Màng Đơn & Gia Công,Company,Vietnam,"Màng đơn PE sữa, màng PA, gia công thổi màng"
CÔNG TY TNHH MTV SUNGDO VINA,Màng & In Ấn,Company,Vietnam,"Màng in PET, màng ghép OPP, dịch vụ gia công in"
CÔNG TY TNHH MTV SX TM Tạ Minh,Hóa Chất & Keo Ghép,Company,Vietnam,"Keo ghép D-9700, chất đóng rắn CL-3192K, dung môi Ethyl Acetate"
CÔNG TY TNHH THỊNH ĐẠT BÌNH DƯƠNG,Màng & Hạt Nhựa,Company,Vietnam,"Màng OPP, hạt nhựa LLDPE, màng ngọc"
CÔNG TY TNHH MTV SX TM VẬT LIỆU MỚI TRANG TÍN,Màng Đơn & Trục,Company,Vietnam,"Màng PET, màng nhôm AL, màng MPET, giữ trục in"
DOYUNG YOU,Chế Bản Trục In,Company,Vietnam,Khắc laser trục in ống đồng G-code & Z-code
CÔNG TY TNHH THƯƠNG MẠI MÁY MÓC THIẾT BỊ KIM MINH,Máy Móc & Phụ Tùng,Company,Vietnam,"Phụ tùng máy cắt, dao cắt dán túi, cảm biến mắt đọc"
CÔNG TY TNHH HÓA CHẤT GIA PHÁT,Hóa Chất & Keo Ghép,Company,Vietnam,"Dung môi công nghiệp, mực in ống đồng"
