bom_no,item_code,item_name,custom_alias,qty,uom,scrap_pct,note
BOM-TP-00011-001,NVL-00024,Màng PET in BABA 3.6KG,PET In BABA,157.5,m,2.5,PET in BABA kho 800
BOM-TP-00011-001,NVL-00002,Màng MPET K800 12mic,MPET K800 12mic,45.0,Kg,2.5,MPET K800 lop giua
BOM-TP-00011-001,NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,50.0,Kg,2.5,PA 2 mat K800
BOM-TP-00011-001,NVL-00005,Màng PE TRONG K700 150mic,PE Trong K700 150mic,120.0,Kg,2.5,PE trong K700 lop han
BOM-TP-00011-001,NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,8.0,Kg,2.5,Keo ghep D-9700
BOM-TP-00011-001,NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,2.0,Kg,2.5,Dong ran CL-3192K
BOM-TP-00011-001,NVL-00014,Dung môi EA (F09),Dung Môi EA,15.0,Kg,2.5,Dung moi EA
BOM-TP-00011-001,NVL-00015,Nắp vòi TQ 16mm (F02),Vòi 16mm,1000,Cái,2.5,Voi 16mm
BOM-TP-00013-001,NVL-00025,Màng PET in LAMY 2KG,PET In LAMY,111.8,m,2.5,PET in LAMY kho 700
BOM-TP-00013-001,NVL-00002,Màng MPET K800 12mic,MPET K800 12mic,32.0,Kg,2.5,MPET K800
BOM-TP-00013-001,NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,35.0,Kg,2.5,PA K800
BOM-TP-00013-001,NVL-00005,Màng PE TRONG K700 150mic,PE Trong K700 150mic,85.0,Kg,2.5,PE trong K700
BOM-TP-00013-001,NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,5.5,Kg,2.5,Keo D-9700
BOM-TP-00013-001,NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,1.4,Kg,2.5,Dong ran
BOM-TP-00013-001,NVL-00014,Dung môi EA (F09),Dung Môi EA,10.0,Kg,2.5,Dung moi EA
BOM-TP-00013-001,NVL-00015,Nắp vòi TQ 16mm (F02),Vòi 16mm,1000,Cái,2.5,Voi 16mm
BOM-TP-00014-001,NVL-00025,Màng PET in LAMY 2KG,PET In LAMY,111.8,m,2.5,PET in LAMY kho 700
BOM-TP-00014-001,NVL-00002,Màng MPET K800 12mic,MPET K800 12mic,32.0,Kg,2.5,MPET K800
BOM-TP-00014-001,NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,35.0,Kg,2.5,PA K800
BOM-TP-00014-001,NVL-00005,Màng PE TRONG K700 150mic,PE Trong K700 150mic,85.0,Kg,2.5,PE trong K700
BOM-TP-00014-001,NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,5.5,Kg,2.5,Keo D-9700
BOM-TP-00014-001,NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,1.4,Kg,2.5,Dong ran
BOM-TP-00014-001,NVL-00014,Dung môi EA (F09),Dung Môi EA,10.0,Kg,2.5,Dung moi EA
BOM-TP-00014-001,NVL-00015,Nắp vòi TQ 16mm (F02),Vòi 16mm,1000,Cái,2.5,Voi 16mm
BOM-TP-00020-001,NVL-00030,Màng PET in 888 Phấn Thơm,PET In 888 Phấn Thơm,136.7,m,2.5,PET in 888 kho 850
BOM-TP-00020-001,NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,40.0,Kg,2.5,PA K800
BOM-TP-00021-001,NVL-00006,Màng PES K700 190mic,PE Sữa K700 190mic,95.0,Kg,2.5,PES K700 lop han
BOM-TP-00020-001,NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,6.5,Kg,2.5,Keo D-9700
BOM-TP-00020-001,NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,1.6,Kg,2.5,Dong ran
BOM-TP-00020-001,NVL-00014,Dung môi EA (F09),Dung Môi EA,12.0,Kg,2.5,Dung moi EA
BOM-TP-00020-001,NVL-00015,Nắp vòi TQ 16mm (F02),Vòi 16mm,1000,Cái,2.5,Voi 16mm
BOM-TP-00021-001,NVL-00026,Màng PET in TANZY xốt phô mai,PET In TANZY,58.9,m,2.5,PET in TANZY kho 560
BOM-TP-00021-001,NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,17.0,Kg,2.5,PA K800
BOM-TP-00021-001,NVL-00006,Màng PES K700 190mic,PE Sữa K700 190mic,40.0,Kg,2.5,PES K700
BOM-TP-00021-001,NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,3.0,Kg,2.5,Keo D-9700
BOM-TP-00021-001,NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,0.8,Kg,2.5,Dong ran
BOM-TP-00021-001,NVL-00014,Dung môi EA (F09),Dung Môi EA,5.5,Kg,2.5,Dung moi EA
BOM-TP-00021-001,NVL-00016,Nắp vòi TQ 10mm (F03),Vòi 10mm,1000,Cái,2.5,Voi 10mm
BOM-TP-00003-001,NVL-00009,Màng PET in 888 Phấn Thơm (PETIN A01),PET In 888 Phấn Thơm,91.3,m,2.5,PET in 888 A01 dung chung mau Da Sac
BOM-TP-00003-001,NVL-00003,Màng PA 2 mặt K800 15mic,PA K800 15mic,27.0,Kg,2.5,PA K800
BOM-TP-00003-001,NVL-00006,Màng PES K700 190mic,PE Sữa K700 190mic,65.0,Kg,2.5,PES K700
BOM-TP-00003-001,NVL-00012,Keo ghép D-9700 (F05),Keo D 9700,4.5,Kg,2.5,Keo D-9700
BOM-TP-00003-001,NVL-00013,Chất đóng rắn CL-3192K (F06),Dong Ran CL 3192k,1.1,Kg,2.5,Dong ran
BOM-TP-00003-001,NVL-00014,Dung môi EA (F09),Dung Môi EA,8.0,Kg,2.5,Dung moi EA
BOM-TP-00003-001,NVL-00015,Nắp vòi TQ 16mm (F02),Vòi 16mm,1000,Cái,2.5,Voi 16mm
