item_code,customer_name,ref_code
TP-00001,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA-1L
TP-00002,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA-1L
TP-00003,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,KOVAA-2L
TP-00004,CÔNG TY TRÁCH NHIỆM HỮU HẠN SAM RAN,SAMRAN-INS
TP-00005,CÔNG TY TRÁCH NHIỆM HỮU HẠN SAM RAN,SAMRAN-I4S
TP-00011,CÔNG TY TNHH MTV SX TM XNK ANH PHÁT,BABA-3.6KG
TP-00012,CÔNG TY TNHH CÔNG NGHỆ VẬT LIỆU TIÊN PHONG VIETCOAT,SUPERGEO-5L
TP-00013,CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,LAMY-VANG-2KG
TP-00014,CÔNG TY CỔ PHẦN ECO WIPES VIỆT NAM,LAMY-XANH-2KG
TP-00015,CÔNG TY TNHH SẢN XUẤT - XUẤT NHẬP KHẨU AMYCO,CHLOELY-2L
TP-00017,CÔNG TY CỔ PHẦN EZ COSMETIC VIỆT NAM - CHI NHÁNH LONG AN,SOFIA-2L
TP-00018,CÔNG TY CỔ PHẦN DINH DƯỠNG SKX,SKX-DD
TP-00019,CÔNG TY TNHH DỊCH VỤ TỔNG HỢP QUANG ĐẠI PHÁT,HOTIEU-NQT-500G
TP-00020,CÔNG TY CỔ PHẦN DS COSMETIC,888-3.2KG-HONG
TP-00021,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI BAO BÌ KOVAA,TANZY-XOTPM
TP-00022,CÔNG TY CỔ PHẦN DS COSMETIC,MINHRAU-TIM-3.2KG
TP-00023,CÔNG TY CỔ PHẦN DS COSMETIC,MINHRAU-HONG-3.2KG
TP-00024,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONGAN-20X30
TP-00025,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONGAN-22X32
TP-00026,CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG AN,TRUONGAN-25X35
TP-00027,CÔNG TY TNHH ENZY FOOD,ENZY-220G
TP-00028,CÔNG TY TNHH ENZY FOOD,ENZY-450G
TP-00029,CÔNG TY TNHH ENZY FOOD,ENZY-900G
TP-00030,CÔNG TY TNHH ENZY FOOD,ENZY-RACCOM
TP-00031,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,TMGROW-KB-4KG
TP-00032,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,TMGROW-MH-4KG
TP-00033,CÔNG TY TNHH THƯƠNG MẠI JNS VIỆT NAM,TMGROW-KS-4KG
TP-00034,CÔNG TY CỔ PHẦN DS COSMETIC,METHICH-888
