name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00001,CÔNG TY TNHH ACE PHÁT TÀI,ACE PHAT TAI,Company,,Việt Nam,,VND,,"Thôn Đỗ Thượng, Xã Ân Thi, Tỉnh Hưng Yên, Việt Nam",,0
KH-00002,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI ACOTA,ACOTA,Company,,Việt Nam,,VND,0700920852,"Tổ dân phố Đông Hải, Phường Duy Hà, Ninh Bình",,0
KH-00003,Công ty TNHH TM & DV MTV ANH PHÚC,AKA,Company,,Việt Nam,,VND,,"TDP Đức Liễn, Phường Việt Yên, tỉnh Bắc Ninh",,0
KH-00004,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI ĐIỆP ĐỨC,ANDARD,Company,,Việt Nam,,VND,,"KCN hải Hưng , Ninh Bình",,0
KH-00005,CÔNG TY TNHH TIỆP ANH HƯƠNG,ANHHUONG,Company,,Việt Nam,,VND,0601296785,"Thôn An Hạ, Xã Vũ Dương, Ninh Bình",,0
KH-00006,CÔNG TY TNHH DV TM TRANG THIẾT BỊ Y TẾ BĂNG AN PRO,AN PRO,Company,,Việt Nam,,VND,4101609035,"Nhơn Sơn, Xã Kim Sơn, Gia Lai",,0
KH-00007,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI AN SINH LỘC,ANSINHLOC,Company,,Việt Nam,,VND,,"Thôn Đôn Thư, xã Trường Tân, TP Hải Phòng",,0
KH-00008,CÔNG TY TNHH ARIX VIỆT NAM,ARIX VN,Company,,Việt Nam,,VND,0319158880,"Số 51 đường 10, Khu dân cư Sông Đà, Khu phố 57, Phường Hiệp Bình, TP Hồ Chí Minh",,0
KH-00009,CÔNG TY CỔ PHẦN DƯỢC - THIẾT BỊ Y TẾ ÂU MỸ,AU MY,Company,,Việt Nam,,VND,0106048844,"Số 39 liền kề I, khu đô thị mới An Hưng, Phường Dương Nội, TP Hà Nội",,0
KH-00010,CÔNG TY TNHH MỸ PHẨM AVATAR VIỆT NAM,AVATAR VN,Company,,Việt Nam,,VND,,"Thừa đất số 1007, tờ bản đồ số 1, ấp 2, xã Long Cang, Tỉnh Tây Ninh, Việt Nam",,0
KH-00011,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XNK AZ88,AZ88,Company,,Việt Nam,,VND,,"361/60/70D Nguyễn Thị Sáng, Ấp 43, Xã Đông Thạnh, TP. Hồ Chí Minh",,0
KH-00012,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT AZENKA,AZENKA,Company,,Việt Nam,,VND,,"76/11 Ấp 1 ,Xã Bà Điểm ,TP Hồ Chí Minh",,0
KH-00013,CÔNG TY CỔ PHẦN SX TM KSC VIỆT NAM,BELLA,Company,,Việt Nam,,VND,,"33/1 Nguyễn Văn Cừ, Chánh Mỹ, Thủ Dầu Một, Bình Dương",,0
KH-00014,CÔNG TY TNHH FASTER & BIGGER,BIGGER,Company,,Việt Nam,,VND,3703438184,"E1-12 khu đô thị Thịnh Gia, Tổ 8, Khu phố 4, Phường Hòa Lợi, TP Hồ Chí Minh",,0
KH-00015,CÔNG TY TNHH ZEUS TECHNOLOGY,BLUUM,Company,,Việt Nam,,VND,0316407289,"Tầng 2, Số 21 Đường Võ Trường Toản, Phường An Khánh, TP Hồ Chí Minh",,0
KH-00016,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI PHÁT BẢO NGỌC,BM CROWN MY,Company,,Việt Nam,,VND,,"tổ 9, ấp Suối Dập, xã Thái Bình, huyện Châu Thành, tỉnh Tây Ninh",,0
KH-00017,Nguyễn Thị Xuân Mỹ,CAFE HUONGMY,Company,,Việt Nam,,VND,066163002488,"545 Hùng Vương, Phường Buôn Hồ, Đắk Lắk",,0
KH-00018,CÔNG TY CỔ PHẦN QUỐC TẾ CARA,CARA,Company,,Việt Nam,,VND,,"Số 216 Nguyễn Hữu Cảnh , Phường Quảng Phú ,Tỉnh Thanh Hóa",,0
KH-00019,CÔNG TY CP ĐÀU TƯ LIÊN DOANH SX HÓA MỸ PHẨM CAO CẤP  VIỆT NHẬT,CC VIET NHAT,Company,,Việt Nam,,VND,,"Số 2 ngõ 250/8 phố Tân Mai, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",,0
KH-00020,HỘ KINH DOANH NGUYỄN THỊ XUÂN MỸ,CFHUONGMY,Individual,,Việt Nam,,VND,,"545 Hùng Vương, Phường Buôn Hồ, Tỉnh Đắk Lắk",,0
KH-00021,CÔNG TY CỔ PHẦN CHAN FOOD,CHANFOOD,Company,,Việt Nam,,VND,,"68 Nguyễn Huệ, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh",,0
KH-00022,CÔNG TY TNHH PHÁT TRIỂN THƯƠNG MẠI CHÂU LONG,CHAU LONG,Company,,Việt Nam,,VND,2500641615,"Khu HC 2, Phường Vĩnh Phúc, Phú Thọ",,0
KH-00023,chị Mỹ Ngọc,CHERRY,Individual,,Việt Nam,,VND,,"quán Thỏ, khu sao mai, đối diện nhà trọ út phiến, tịnh biên, an giang",,0
